Bairro;Título;Preco;Metros_Quadrados;Classificacao_IDH;IDH_Valor;Renda_Media_Mensal;IDE_Sem_Instrucao;IDE_Fund_Med_Incomp;IDE_Medio_Comp;IDE_Superior_Comp;Classificacao_IBEU;Condicoes_Ambientais_Urbanas;Condicoes_Habitacionais_Urbanas;Preco_m2
jose de alencar;Casa com 3 dormitórios à venda, 120 m² por R$ 480.000,00 - José de Alencar - Fortaleza/CE;480000;121;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;3966,942149
itaperi;Casa á Venda no Itaperi- Fortaleza/CE;450000;136;Médio (0,3501-0,5000);0,368393967;798,25;40,134991280;17,956558175;32,352608095;8,393920862;0,801-0,900 (Alto);0,813293696;0,842930831;3308,823529
passare;Casa com 4 dormitórios à venda por R$ 499.000 - Passaré - Fortaleza/CE;499000;220;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;2268,181818
jose de alencar;Casa com 3 dormitórios à venda, 105 m² por R$ 750.000 - José de Alencar - Fortaleza/CE;750000;105;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;7142,857143
edson queiroz;Casa com 3 dormitórios à venda, 140 m² por R$ 599.000 - Edson Queiroz - Fortaleza/CE;599000;140;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;4278,571429
passare;Casa com 3 dormitórios à venda por R$ 600.000,00 - Passaré - Fortaleza/CE;600000;325;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;1846,153846
maraponga;Casa com 3 dormitórios à venda, 130 m² por R$ 550.000,00 - Maraponga - Fortaleza/CE;550000;100;Médio (0,3501-0,5000);0,390382558;916,44;36,505561856;19,918924788;36,715488744;6,044446589;0,701-0,800 (Médio);0,851594864;0,874788715;5500
edson queiroz;Casa com 4 dormitórios à venda por R$ 780.000 - Edson Queiroz - Fortaleza/CE;780000;200;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;3900
edson queiroz;Casa com 4 dormitórios à venda por R$ 780.000,00 - Edson Queiroz - Fortaleza/CE;780000;200;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;3900
parangaba;Casa à venda, 200 m² por R$ 1.100.000 - Parangaba - Fortaleza/CE;1100000;200;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;5500
jose de alencar;Casa com 3 dormitórios à venda, 120 m² por R$ 505.000 - José de Alencar - Fortaleza/CE;505000;120;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;4208,333333
passare;Casa com 3 dormitórios à venda, 96 m² por R$ 500.000 - Passaré - Fortaleza/CE;500000;96;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;5208,333333
jose de alencar;Casa com 3 dormitórios à venda, 166 m² por R$ 625.000,00 - José de Alencar - Fortaleza/CE;625000;166;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;3765,060241
lagoa redonda;Casa com 3 dormitórios à venda por R$ 330.000 - Lagoa Redonda - Fortaleza/CE;330000;110;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;3000
itaperi;Casa com 5 dormitórios à venda por R$ 465.000,00 - Itaperi - Fortaleza/CE;465000;314;Médio (0,3501-0,5000);0,368393967;798,25;40,134991280;17,956558175;32,352608095;8,393920862;0,801-0,900 (Alto);0,813293696;0,842930831;1480,89172
fatima;Casa com 3 dormitórios à venda por R$ 1.800.000 - Fátima - Fortaleza/CE;1800000;560;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;3214,285714
jangurussu;Casa com 3 dormitórios à venda, 67 m² por R$ 245.000,00 - Jangurussu - Fortaleza/CE;245000;67;Muito baixo (0,0000-0,2500);0,172086984;416,9;44,871281532;22,669995525;25,724851026;3,438773347;0,701-0,800 (Médio);0,791911127;0,781121014;3656,716418
bela vista;Casa com 4 dormitórios à venda, 171 m² por R$ 600.000,00 - Damas - Fortaleza/CE;600000;172;Médio (0,3501-0,5000);0,375255922;636,82;37,362884205;19,572460784;34,603721313;6,940960653;0,801-0,900 (Alto);0,894409966;0,835727395;3488,372093
centro;Casa Plana para venda tem 280m2, na rua Barbara de Alencar, Centro - Fortaleza - CE;775000;280;Alto (0,5001-0,7000);0,556689243;1062,93;28,155522754;18,385100970;36,512672341;15,938569769;0,901-1,000 (Muito alto);0,874335556;0,871428206;2767,857143
olavo oliveira;Casa á Venda no Olavo Oliveira- Fortaleza/CE;750000;198;Muito baixo (0,0000-0,2500);0,212536802;0;46,404062241;20,007038536;29,167190367;3,697745155;0,701-0,800 (Médio);0,737688349;0,769851144;3787,878788
fatima;Casa à venda na Avenida 13 de Maio em Fortaleza Ce;1200000;262;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;4580,152672
fatima;Casa Alto Padrão para Venda em Fátima Fortaleza-CE;1200000;770;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;1558,441558
passare;Casa com 4 dormitórios à venda, 270 m² por R$ 599.000,00 - Passaré - Fortaleza/CE;599000;270;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;2218,518519
jose de alencar;Casa com 3 dormitórios à venda, 320 m² por R$ 900.000,00 - José de Alencar - Fortaleza/CE;900000;321;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;2803,738318
serrinha;Casa à venda no bairro serrinha em fortaleza.;500000;330;Baixo (0,2501-0,3500);0,282916147;519,27;40,134991280;17,956558175;32,352608095;8,393920862;0,801-0,900 (Alto);0,813293696;0,842930831;1515,151515
lagoa redonda;Casas Novas a venda com 112m² com 3 quartos em Lagoa Redonda - Fortaleza - CE;550000;112;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;4910,714286
papicu;Casa com 3 quartos à venda, 538 m² por R$ 480.000 - Papicu - Fortaleza/CE;480000;539;Alto (0,5001-0,7000);0,529635268;1476,65;28,634744959;12,451002997;30,174467758;27,458816899;0,901-1,000 (Muito alto);0,885440082;0,851718415;890,5380334
edson queiroz;Casa com 4 dormitórios à venda, 198 m² por R$ 1.100.000,00 - Edson Queiroz - Fortaleza/CE;1100000;198;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;5555,555556
parque dois irmaos;Casa com 2 dormitórios à venda, 90 m² por R$ 280.000 - Passaré - Fortaleza/CE;280000;90;Baixo (0,2501-0,3500);0,251057366;557,84;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;3111,111111
mondubim;Casa com 3 dormitórios à venda, 237 m² por R$ 420.000,00 - Mondubim - Fortaleza/CE;420000;237;Muito baixo (0,0000-0,2500);0,232790791;500,06;42,399046155;20,863794672;31,702801920;4,576260550;0,701-0,800 (Médio);0,800166323;0,824973502;1772,151899
joaquim tavora;Casa com 3 dormitórios à venda, 280 m² por R$ 650.000,00 - Joaquim Távora - Fortaleza/CE;650000;280;Alto (0,5001-0,7000);0,662519548;1446,03;21,701616731;12,380978974;36,327590540;29,506045291;0,901-1,000 (Muito alto);0,966210918;0,949667769;2321,428571
parque araxa;Casa à venda em Parque Araxá, Fortaleza (CE) - 254 m², R$ 420.000,00;420000;254;Alto (0,5001-0,7000);0,587354605;984,94;28,627673418;13,576457242;38,220279604;18,741450068;0,801-0,900 (Alto);0,846859077;0,935942334;1653,543307
aldeota;Casa Comercial para aluguel ou venda com 187 m² com 3 salas em Aldeota - Fortaleza - CE;500000;187;Muito alto (0,800-1,0000);0,866564809;2901,57;14,701582498;10,349072815;32,870809716;41,403985740;0,901-1,000 (Muito alto);0,933232618;0,976812435;2673,796791
farias brito;Casa Padrão para Venda em Farias Brito Fortaleza-CE;720000;220;Médio (0,3501-0,5000);0,499776808;890,48;32,600355036;16,686709042;38,157819390;12,245891313;0,901-1,000 (Muito alto);0,895374394;0,837843346;3272,727273
messejana;Casa com 3 dormitórios à venda, 98 m² por R$ 435.000,00 - Messejana - Fortaleza/CE;435000;98;Médio (0,3501-0,5000);0,375702403;648,89;35,379485638;19,656180819;34,808275711;8,975375113;0,901-1,000 (Muito alto);0,814567697;0,87099405;4438,77551
messejana;Casa com 3 dormitórios à venda, 98 m² por R$ 430.000,00 - Messejana - Fortaleza/CE;430000;98;Médio (0,3501-0,5000);0,375702403;648,89;35,379485638;19,656180819;34,808275711;8,975375113;0,901-1,000 (Muito alto);0,814567697;0,87099405;4387,755102
parangaba;Vendo Casa em Maraponga, com PREÇO BAIXO - Fortaleza;330000;100;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;3300
parangaba;Vendo Casa em Vila Peri - Fortaleza;600000;166;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;3614,457831
lagoa redonda;Vendo Casa Duplex em Lagoa Redonda - Fortaleza;400000;300;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;1333,333333
floresta;Vendo Casa Duplex em Maraponga - Fortaleza;325000;94;Muito baixo (0,0000-0,2500);0,223828806;380,81;46,790425677;22,453420373;26,238723424;3,535971712;0,801-0,900 (Alto);0,901213291;0,7745815;3457,446809
jardim iracema;Vendo Casa em Jardim Iracema - Fortaleza;670000;360;Baixo (0,2501-0,3500);0,290124166;448,19;46,790425677;22,453420373;26,238723424;3,535971712;0,801-0,900 (Alto);0,901213291;0,7745815;1861,111111
maraponga;Vendo Casa Duplex em Maraponga - Fortaleza;547000;86;Médio (0,3501-0,5000);0,390382558;916,44;36,505561856;19,918924788;36,715488744;6,044446589;0,701-0,800 (Médio);0,851594864;0,874788715;6360,465116
joquei clube;Vendo Casa em Jóquei Club - Fortaleza;1299000;620;Médio (0,3501-0,5000);0,406362443;708,67;32,043888556;17,899940084;41,428250449;8,421959257;0,801-0,900 (Alto);0,9115318;0,865542527;2095,16129
mondubim;Vendo Casa Duplex em Mondubim - Fortaleza;1500000;350;Muito baixo (0,0000-0,2500);0,232790791;500,06;42,399046155;20,863794672;31,702801920;4,576260550;0,701-0,800 (Médio);0,800166323;0,824973502;4285,714286
maraponga;Vendo Casa Duplex em Maraponga - Fortaleza;330000;94;Médio (0,3501-0,5000);0,390382558;916,44;36,505561856;19,918924788;36,715488744;6,044446589;0,701-0,800 (Médio);0,851594864;0,874788715;3510,638298
montese;Vendo Casa Plana em Montese - Fortaleza;650000;180;Médio (0,3501-0,5000);0,472813897;822,59;34,077998528;20,844738779;31,805739514;11,958793230;0,801-0,900 (Alto);0,850397873;0,898943581;3611,111111
joao xxiii;Vendo Casa em Henrique Jorge - Fortaleza;460000;140;Baixo (0,2501-0,3500);0,283709367;449,97;39,446985766;21,568577343;33,881066162;4,794152973;0,801-0,900 (Alto);0,83456882;0,853452247;3285,714286
jardim cearense;Vendo Casa Plana em Maraponga - Fortaleza;240000;133;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;1804,511278
messejana;Excelente casa plana para venda em Messejana - Fortaleza - CE;435000;98;Médio (0,3501-0,5000);0,375702403;648,89;35,379485638;19,656180819;34,808275711;8,975375113;0,901-1,000 (Muito alto);0,814567697;0,87099405;4438,77551
lagoa redonda;Casa com 5 dormitórios à venda, 400 m² por R$ 2.950.000,00 - Alphaville Fortaleza - Fortal;2950000;400;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;7375
lagoa redonda;Casa à venda - Lagoa Redonda - Fortaleza/CE;670000;119;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;5630,252101
sao bento;Casa à venda por R$ 390.000,00 - São Bento - Fortaleza/CE;390000;200;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;1950
edson queiroz;Casa com 4 dormitórios à venda, 220 m² por R$ 2.300.000,00 - Edson Queiroz - Fortaleza/CE;2300000;220;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;10454,54545
jose de alencar;Casa com 7 dormitórios à venda, 700 m² por R$ 11.500.000 - Alphaville Fortaleza;11500000;700;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;16428,57143
jose de alencar;Casa com 5 dormitórios à venda por R$ - Alphaville Fortaleza;5490000;467;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;11755,88865
maraponga;Casa à venda por R$ 1.750.000,00 - Maraponga - Fortaleza/CE;1750000;330;Médio (0,3501-0,5000);0,390382558;916,44;36,505561856;19,918924788;36,715488744;6,044446589;0,701-0,800 (Médio);0,851594864;0,874788715;5303,030303
genibau;Vende-se casa duplex AV.E, na rua sete barras, genibáu Fortaleza-ce,casa 64;185000;120;Muito baixo (0,0000-0,2500);0,138642057;329,98;48,767095937;20,942397924;26,397124888;3,050813617;0,701-0,800 (Médio);0,806423142;0,774423791;1541,666667
benfica;Casa Duplex para Venda em Benfica Fortaleza-CE;650000;180;Alto (0,5001-0,7000);0,628455191;1246,4;24,779127911;12,897375444;37,580640982;16,112651242;0,901-1,000 (Muito alto);0,876499115;0,916228455;3611,111111
lagoa redonda;Casa com 3 dormitórios à venda, 84 m² por R$ 369.000,00 - Lagoa Redonda - Fortaleza/CE;369000;84;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;4392,857143
parque manibura;Casa com 4 dormitórios à venda, 380 m² por R$ 1.750.000,00 - Parque Manibura - Fortaleza/C;1750000;380;Alto (0,5001-0,7000);0,578017912;1591,49;46,732432432;19,432432432;26,132432432;7,324324324;0,801-0,900 (Alto);0,852470943;0,920787325;4605,263158
messejana;Casa com 3 dormitórios à venda, 257 m² por R$ 1.200.000,00 - Messejana - Fortaleza/CE;1200000;257;Médio (0,3501-0,5000);0,375702403;648,89;35,379485638;19,656180819;34,808275711;8,975375113;0,901-1,000 (Muito alto);0,814567697;0,87099405;4669,2607
lagoa redonda;Casa com 3 dormitórios à venda, Lagoa Redonda - Fortaleza/CE;410000;129;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;3178,294574
lagoa redonda;Casa com 5 dormitórios à venda, 450 m² por R$ 5.900.000 - Alphaville Fortaleza;5900000;450;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;13111,11111
guajeru;Casa com 3 dormitórios à venda, 115 m² por R$ 390.000 - Guajiru - Fortaleza/CE;390000;115;Baixo (0,2501-0,3500);0,288810144;612,34;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;3391,304348
edson queiroz;Casa com 3 dormitórios à venda, 175 m² por R$ 650.000,00 - Edson Queiroz - Fortaleza/CE;650000;175;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;3714,285714
edson queiroz;Casa com 3 dormitórios à venda, 107 m² por R$ 529.000,00 - Edson Queiroz - Fortaleza/CE;529000;107;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;4943,925234
parque manibura;Casa com 4 dormitórios à venda, 250 m² por R$ 650.000,00 - Parque Manibura - Fortaleza/CE;650000;250;Alto (0,5001-0,7000);0,578017912;1591,49;46,732432432;19,432432432;26,132432432;7,324324324;0,801-0,900 (Alto);0,852470943;0,920787325;2600
jose de alencar;Casa com 4 dormitórios à venda, 1 m² por R$ 370.000,00 - José de Alencar - Fortaleza/CE;370000;260;Médio (0,3501-0,5000);0,376978555;1290,87;39,531777539;17,857010351;25,652060995;16,328423552;0,801-0,900 (Alto);0,679578618;0,813346747;1423,076923
parque manibura;Casa com 3 dormitórios à venda, 200 m² por R$ 945.000,00 - Parque Manibura - Fortaleza/CE;945000;200;Alto (0,5001-0,7000);0,578017912;1591,49;46,732432432;19,432432432;26,132432432;7,324324324;0,801-0,900 (Alto);0,852470943;0,920787325;4725
passare;Vendo/Troco em Casa Apartamento no Solar do Bosque Passaré - Fortaleza - Ceará (Gás e Água;120000;45;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;2666,666667
lagoa redonda;Casa à venda - Lagoa Redonda - Fortaleza/CE;479000;110;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;4354,545455
lagoa redonda;Casa com 3 quartos à venda, 219 m² por R$ 670.000 - Lagoa Redonda - Fortaleza/CE;670000;219;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;3059,360731
parangaba;Casa com 5 dormitórios à venda, 371 m² por R$ 1.200.000,00 - Parangaba - Fortaleza/CE;1200000;371;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;3234,501348
messejana;Casa com 4 dormitórios à venda, 277 m² por R$ 600.000,00 - Messejana - Fortaleza/CE;600000;277;Médio (0,3501-0,5000);0,375702403;648,89;35,379485638;19,656180819;34,808275711;8,975375113;0,901-1,000 (Muito alto);0,814567697;0,87099405;2166,064982
conjunto ceara ii;Casa à venda no Conjunto Ceará II - Fortaleza/CE;220000;192;Médio (0,3501-0,5000);0,361724536;589,31;48,279658171;17,768780087;29,775721163;3,692577527;0,501-0,700 (Baixo);0,810477991;0,813561102;1145,833333
canindezinho;Casa com 4 quartos à venda, 140 m² por R$ 160.000 - Canindezinho - Fortaleza/CE;160000;140;Muito baixo (0,0000-0,2500);0,13627704;325,47;55,442121248;22,228711599;19,820114473;1,483471557;0,501-0,700 (Baixo);0,592596176;0,746341404;1142,857143
jangurussu;Casa com 4 dormitórios à venda, 152 m² por R$ 480.000,00 - Jangurussu - Fortaleza/CE;480000;152;Muito baixo (0,0000-0,2500);0,172086984;416,9;44,871281532;22,669995525;25,724851026;3,438773347;0,701-0,800 (Médio);0,791911127;0,781121014;3157,894737
cidade dos funcionarios;Casa com 3 dormitórios à venda, 147 m² por R$ 640.000,00 - Lago Jacarey - Fortaleza/CE;640000;147;Alto (0,5001-0,7000);0,571862895;1549,05;36,116420294;18,467084412;29,666368277;14,104952459;0,801-0,900 (Alto);0,782830885;0,853864084;4353,741497
jangurussu;Casa com 3 dormitórios à venda, 116 m² por R$ 445.000,00 - Messejana - Fortaleza/CE;445000;116;Muito baixo (0,0000-0,2500);0,172086984;416,9;44,871281532;22,669995525;25,724851026;3,438773347;0,701-0,800 (Médio);0,791911127;0,781121014;3836,206897
edson queiroz;Casa com 4 dormitórios à venda, 260 m² por R$ 1.190.000,00 - Edson Queiroz - Fortaleza/CE;1190000;260;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;4576,923077
edson queiroz;Casa com 3 dormitórios à venda, 125 m² por R$ 619.000,00 - Edson Queiroz - Fortaleza/CE;619000;125;Médio (0,3501-0,5000);0,350300888;919,55;36,129502261;18,401148465;33,241199032;12,076021512;0,801-0,900 (Alto);0,764487418;0,724787651;4952
sabiaguaba;Casa com 2 dormitórios à venda por R$ 310.000,00 - Sabiaguaba - Fortaleza/CE;310000;100;Baixo (0,2501-0,3500);0,267301809;549,83;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;3100
conjunto ceara i;Casa com 4 dormitórios à venda por R$ 250.000,00 - Conjunto Ceará - Fortaleza/CE;250000;153;Médio (0,3501-0,5000);0,359970667;603,52;48,767095937;20,942397924;26,397124888;3,050813617;0,701-0,800 (Médio);0,806423142;0,774423791;1633,986928
jardim cearense;Casa com 4 dormitórios à venda, 170 m² por R$ 850.000,00 - Jardim Cearense - Fortaleza/CE;850000;170;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;5000
mondubim;Casa com 3 dormitórios à venda, 125 m² por R$ 297.000,00 - Maraponga - Fortaleza/CE;297000;125;Muito baixo (0,0000-0,2500);0,232790791;500,06;42,399046155;20,863794672;31,702801920;4,576260550;0,701-0,800 (Médio);0,800166323;0,824973502;2376
jardim cearense;Casa com 3 dormitórios à venda, 86 m² por R$ 546.000,00 - Maraponga - Fortaleza/CE;546000;86;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;6348,837209
parangaba;Casa com 3 dormitórios à venda, 125 m² por R$ 480.000,00 - Maraponga - Fortaleza/CE;480000;125;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;3840
dende;Casa à venda, 112 m² por R$ 310.000,00 - Itaperi - Fortaleza/CE;310000;112;Muito baixo (0,0000-0,2500);0,181127137;633,44;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;2767,857143
aldeota;Casa com 3 dormitórios 3 banheiros e 2 Vagasà venda por R$ 420.000 - Aldeota - Fortaleza/C;420000;119;Muito alto (0,800-1,0000);0,866564809;2901,57;14,701582498;10,349072815;32,870809716;41,403985740;0,901-1,000 (Muito alto);0,933232618;0,976812435;3529,411765
siqueira;Casa com 2 dormitórios à venda por R$ 125.000,00 - Siqueira - Fortaleza/CE;125000;70;Muito baixo (0,0000-0,2500);0,148674574;326,8;59,076550103;19,640758155;19,736262122;0,955039671;0,001-0,500 (Muito baixo);0,621429182;0,739200053;1785,714286
parque santa maria;Casa com 2 dormitórios à venda, 70 m² por R$ 280.000,00 - Messejana - Fortaleza/CE;280000;70;Muito baixo (0,0000-0,2500);0,214317824;0;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;4000
parangaba;Casa com 4 dormitórios à venda por R$ 350.000,00 - Parangaba - Fortaleza/CE;350000;92;Médio (0,3501-0,5000);0,418919096;787,91;35,541519026;20,313841143;33,842463191;9,375618989;0,801-0,900 (Alto);0,87948054;0,899379336;3804,347826
jardim cearense;Casa com 3 dormitórios à venda, 206 m² por R$ 1.700.000,00 - Maporanga - Fortaleza/CE;1700000;200;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;8500
jardim cearense;Casa com 3 dormitórios à venda, 165 m² por R$ 550.000,00 - Jardim Cearense - Fortaleza/CE;550000;165;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;3333,333333
quintino cunha;Casa com 4 dormitórios à venda por R$ 450.000,00 - Quintino Cunha - Fortaleza/CE;450000;210;Muito baixo (0,0000-0,2500);0,222536802;427,43;46,404062241;20,007038536;29,167190367;3,697745155;0,701-0,800 (Médio);0,737688349;0,769851144;2142,857143
lagoa redonda;Casa com 2 dormitórios à venda por R$ 285.000,00 - Lagoa Redonda - Fortaleza/CE;285000;60;Baixo (0,2501-0,3500);0,252678506;544,16;46,732432432;19,432432432;26,132432432;7,324324324;0,701-0,800 (Médio);0,812300179;0,791664593;4750
fatima;Casa com 5 dormitórios à venda, 183 m² por R$ 800.000,00 - Fátima - Fortaleza/CE;800000;180;Alto (0,5001-0,7000);0,694795867;1756,11;14,820940358;13,187295372;38,876700307;32,733655112;0,901-1,000 (Muito alto);0,968426708;0,956876508;4444,444444
jardim cearense;Casa com 3 dormitórios à venda, 98 m² por R$ 350.000,00 - Jardim Cearense - Fortaleza/CE;350000;98;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;3571,428571
sao bento;Casa com 3 dormitórios à venda por R$ 550.000,00 - São Bento - Fortaleza/CE;550000;130;Muito baixo (0,0000-0,2500);0,198287378;434,74;49,469459426;21,989213596;25,691709520;2,842092061;0,701-0,800 (Médio);0,585923687;0,789779326;4230,769231
centro;Casa com 4 dormitórios à venda por R$ 560.000,00 - Centro - Fortaleza/CE;560000;203;Alto (0,5001-0,7000);0,556689243;1062,93;28,155522754;18,385100970;36,512672341;15,938569769;0,901-1,000 (Muito alto);0,874335556;0,871428206;2758,62069
passare;Casa com 3 dormitórios à venda, 96 m² por R$ 500.000,00 - Passaré - Fortaleza/CE;500000;96;Muito baixo (0,0000-0,2500);0,224672553;619,47;45,353468304;17,948414015;28,860651463;7,702337490;0,801-0,900 (Alto);0,747949696;0,803322248;5208,333333
jardim cearense;Casa com 3 dormitórios à venda, 82 m² por R$ 350.000,00 - Jardim Cearense - Fortaleza/CE;350000;82;Baixo (0,2501-0,3500);0,31815202;717,01;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;4268,292683
parque dois irmaos;Casa com 3 dormitórios à venda por R$ 340.000,00 - Parque Dois Irmãos - Fortaleza/CE;340000;126;Baixo (0,2501-0,3500);0,251057366;557,84;43,389690722;17,363573883;32,401374570;6,496219931;0,801-0,900 (Alto);0,710086364;0,785807154;2698,412698
